scielo_id	seq	instituicao	localidade	pais
S1415-47572005000300015	2	,Universidad Nacional de Mar del Plata Facultad de Ciencias Agrarias 	Balcarce Buenos Aires	Argentina
S1415-47572005000300016	1	,Consejo Nacional de Investigaciones Científicas y Técnicas  	Buenos Aires 	Argentina
S1415-47572005000300016	2	,Universidad Nacional de Rosario Facultad de Ciencias Agrarias Consejo de Investigaciones UNR	Santa Fe 	Argentina
S1415-47572005000300017	1	,Universidade Federal de Santa Catarina Departamento de Fitotecnia do Centro de Ciências Agrárias 	Florianópolis SC	Brazil
S1415-47572005000300017	2	,Monsanto do Brasil Ltda  	Uberlândia MG	Brazil
S1415-47572005000300017	3	,Universidade de São Paulo Escola Superior de Agricultura 'Luiz de Queiroz' 	Piracicaba SP	Brazil
S1415-47572005000300021	1	,Universidade Federal de Pernambuco Departamento de Energia Nuclear Grupo de Estudos em Radioproteção e Radioecologia	Recife PE	Brazil
S1415-47572005000300021	2	,Fundação de Hematologia e Hemoterapia de Pernambuco  	Recife PE	Brazil
S1415-47572005000300021	3	,Hospital do Câncer Centro de Radioterapia de Pernambuco 	Recife PE	Brazil
S1415-47572005000300022	1	,Universidade Estadual de Londrina Departamento de Biologia Geral 	Londrina PR	Brazil
S1415-47572005000300022	2	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agronômicas Departamento de Produção Vegetal	Botucatu SP	Brazil
S1415-47572005000300022	3	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Departamento de Patologia 	Botucatu SP	Brazil
S1415-47572005000300023	1	,Universidade Estadual de Londrina Departamento de Biologia Geral 	Londrina PR	Brazil
S1415-47572005000300024	1	,Universidade Federal de Pelotas Departamento de Zoologia e Genética 	Pelotas RS	Brazil
S1415-47572005000300024	2	,Monash University Department of Pharmaceutical Biology and Pharmacology 	Melbourne Victoria	Australia
S1415-47572005000300024	3	,Universidade Católica de Pelotas Escola de Medicina 	Pelotas RS	Brazil
S1415-47572005000400002	1	,Universidade Estadual de Campinas Centro de Biologia Molecular e Engenharia Genética 	Campinas SP	Brazil
S1415-47572005000400002	2	,Universidade Estadual de Campinas Instituto de Biologia Departamento de Genética e Evolução	Campinas SP	Brazil
S1415-47572005000400002	3	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Instituto de Biociências Departamento de Genética	Botucatu SP	Brazil
S1415-47572005000400003	1	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Instituto de Biociências Departamento de Genética	Botucatu SP	Brazil
S1415-47572005000400003	2	,Universidade Estadual de Campinas Departamento de Genética Médica 	Campinas SP	Brazil
S1415-47572005000400004	1	,Universidade Federal do Rio de Janeiro Instituto de Biologia Departamento de Genética	Rio de Janeiro RJ	Brazil
S1415-47572005000400004	2	,Embrapa Agrobiologia Laboratório de Genética e Bioquímica 	Seropédica RJ	Brazil
S1415-47572005000400004	3	,Universidade Federal do Rio de Janeiro Instituto de Biologia Departamento de Genética	Rio de Janeiro RJ	Brazil
S1415-47572005000400004	4	,Universidade Federal do Rio Grande do Sul Departamento de Bioquímica 	Porto Alegre RS	Brazil
S1415-47572005000400005	1	,Universidade Federal do Rio de Janeiro Instituto de Biologia Departamento de Genética	Rio de Janeiro RJ	Brazil
S1415-47572005000400005	2	,Universidade Federal do Rio de Janeiro Instituto de Microbiologia Prof. Paulo de Góes Departamento de Virologia	Rio de Janeiro RJ	Brazil
S1415-47572005000400005	3	,Instituto Brasileiro de Geografia e Estatística Diretoria de Pesquisas Coordenação de Estatísticas Agropecuárias	Rio de Janeiro RJ	Brazil
S1415-47572005000400006	1	,Centro de Biologia Molecular Estrutural Laboratório Nacional de Luz Síncrotron 	Campinas SP	Brazil
S1415-47572005000400006	2	,Universidade Estadual de Campinas Instituto de Biologia Departamento de Bioquímica	Campinas SP	Brazil
S1415-47572005000400007	1	,Universidade Federal do Rio de Janeiro Departamento de Genética Laboratório de Genética Molecular Vegetal	Rio de Janeiro RJ	Brazil
S1415-47572005000400008	1	,Universidade Federal do Rio Grande do Norte Departamento de Biologia Celular e Genética 	Natal RN	Brazil
S1415-47572005000400009	1	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400009	2	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Instituto de Biociências Laboratório de Xenobióticos	Botucatu SP	Brazil
S1415-47572005000400009	3	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Instituto de Biociências Laboratório de Genética	Botucatu SP	Brazil
S1415-47572005000400009	4	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400009	5	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400009	6	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400009	7	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400010	1	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400010	2	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Instituto de Biociências Laboratório de Xenobióticos	Botucatu SP	Brazil
S1415-47572005000400010	3	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Instituto de Biociências Laboratório de Genética	Botucatu SP	Brazil
S1415-47572005000400010	4	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400010	5	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400010	6	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400010	7	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400011	1	,Universidade Federal de Pernambuco Centro de Ciências Biológicas Departamento de Genética	Recife PE	Brazil
S1415-47572005000400012	1	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400012	2	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Instituto de Biociências Laboratório de Xenobióticos	Botucatu SP	Brazil
S1415-47572005000400012	3	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Instituto de Biociências Laboratório de Genética	Botucatu SP	Brazil
S1415-47572005000400012	4	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400012	5	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400012	6	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
S1415-47572005000400012	7	,Universidade Estadual Paulista 'Júlio de Mesquita Filho' Faculdade de Ciências Agrárias Fazenda Experimental Lageado	Botucatu SP	Brazil
